回,年,イベント名,開催日,来場者数,参加コミュニティ数,参加したか
207,,2022 Online/Kyoto,7/29-30,235,14,1
208,,2022 Online/Yamaguchi,8/28,87,,
,,ODC Online,9/3,206,6,参加
209,,2022 Online/Hiroshima,10/1,99,9,1
210,,2022 Online/Fall,10/29-30,270,15,1
211,,2022 Online/Nagaoka,11/12,40,,KOF中継
212,,2022 Online/Fukuoka,11/26,126,14,1
213,2023,2023 Online/Osaka,1/28,203,9,1
214,,2023 Online/Spring,3/10-11,340,18,1
215,,2023 Tokyo/Spring,4/1,450,53,1
216,,2023 Online/Nagoya,5/20,165,12,1
217,,2023 Nagoya,5/28,325,24,1
218,,2023 Online/Hokkaido,6/17,225,15,1
219,,2023 Hokkaido,6/27,278,30,1
220,,2023 Kyoto,7/22,250,26,1
221,,2023 Online/Kyoto,7/29,150,12,1
